index,review,tokens_join,true,fold,pred
2817,本来预定普通标间，到前台才知道没有房间了，故此升级到携程上没有的豪华大床房，房间不大但很干净，我很满意。酒店斜对面是家专卖俄罗斯商品的商店，延路一直走没几步就可以到江边，景色还不错，如果下次出差还会住这里。,本来 预定 普通 标间 ， 到 前台 才 知道 没有 房间 ， 故此 升级 到 携程 上 没有 豪华 大床 房 ， 房间 不大 但 干净 ， 满意 。 酒店 斜对面 家 专卖 俄罗斯 商品 商店 ， 延路 一直 走 没 几步 可以 到 江边 ， 景色 还 不错 ， 如果 下次 出差 还会 住 这里 。,1,1,0
404,"上周去住了两晚,本来想住飞,订的时候没房了,携程给推荐了这家,服务真的不错,还有水果,阎蕾小姐还亲自打电话问候,每年都去潍坊好七八次,这地就常住了.","上周 去 住 两晚 , 本来 想住 飞 , 订 时候 没房 , 携程 给 推荐 这家 , 服务 真的 不错 , 还有 水果 , 阎蕾 小姐 还 亲自 打电话 问候 , 每年 去 潍坊 好 七八次 , 这地 常住 .",1,3,0
5103,388元的B标准间房间很好的！设备不错！但是淋浴房缺少一个放东西的支架，不是很方便。服务很好的！出门也方便，停车安全。液晶电视！装修比较新！但是房间比较小！据说开业时间早，无法改变。面临很大的黄山湖公园，环境保护的很好的！,388 元 B 标准间 房间 好 ！ 设备 不错 ！ 但是 淋浴房 缺少 一个 放 东西 支架 ， 不是 方便 。 服务 好 ！ 出门 方便 ， 停车 安全 。 液晶电视 ！ 装修 比较 新 ！ 但是 房间 比较 小 ！ 据说 开业 时间 早 ， 无法 改变 。 面临 很大 黄山 湖 公园 ， 环境保护 好 ！,1,5,0
97,酒店的基本设施一般，但服务态度确实很不错，房间8楼以下就是新装修的，8楼的房间就比较成旧，洗澡有单独的整体浴室，水比较大空调的风也很足，这个宾馆好像是属于海军的南海舰队，地理位置也很好，靠近省委火车站，离黄兴步行街也就三站地，值得入住,酒店 基本 设施 一般 ， 但 服务态度 确实 不错 ， 房间 8 楼 以下 就是 新装修 ， 8 楼 房间 比较 成旧 ， 洗澡 单独 整体 浴室 ， 水 比较 大 空调 风 足 ， 这个 宾馆 好像 属于 海军 南海舰队 ， 地理位置 好 ， 靠近 省委 火车站 ， 离 黄兴 步行街 三站 地 ， 值得 入住,1,3,0
2906,"酒店服务很不错。有几次因标准房间售完，酒店就升级到豪华间宾馆反馈2008年7月3日：感谢您经常入住国宾大酒店,并且对酒店的服务予以认可.我们热切期待您的再次光临!","酒店 服务 不错 。 几次 因 标准 房间 售完 ， 酒店 升级 到 豪华 间 宾馆 反馈 2008 年 7 月 3 日 ： 感谢您 经常 入住 国宾 大酒店 , 并且 对 酒店 服务 予以 认可 . 我们 热切 期待 您 再次 光临 !",1,4,0
3058,楼梯有一个妈妈桑在拉客。。。没感觉酒店中规中矩，早餐还不错。。没什么深刻印象,楼梯 一个 妈妈 桑在 拉客 。 。 。 没 感觉 酒店 中规中矩 ， 早餐 还 不错 。 。 没什么 深刻印象,1,2,0
3750,如果在遂宁这座小城里寻找温馨的家，明星康年是我首要选泽，因为她确实给人以温暖，给人以安宁，给人以留连。可以说，我是看着她成长起来的，从几年前第一天开张，到现在的逐渐成熟，都给人留下了深刻的印象。当然，目前还有不足（客人停车过夜收费、长途还不能免费），我相信，随着她的进一步成长，她将变得尽善尽美，这也是我对她的祝福！,如果 遂宁 这座 小 城里 寻找 温馨 家 ， 明星 康年 首要 选泽 ， 因为 她 确实 给人以 温暖 ， 给人以 安宁 ， 给人以 留连 。 可以 说 ， 看着 她 成长 起来 ， 从 几年 前 第一天 开张 ， 到 现在 逐渐 成熟 ， 给 留下 深刻 印象 。 当然 ， 目前 还有 不足 （ 客人 停车 过夜 收费 、 长途 还 不能 免费 ） ， 相信 ， 随着 她 进一步 成长 ， 她 将 变得 尽善尽美 ， 对 她 祝福 ！,1,5,0
972,01年间的酒店现在设施还很新啊。位置不错，离广场周边购物都近。携程提供的离机场距离不对，应该至少20公里以上。,01 年间 酒店 现在 设施 还 新 啊 。 位置 不错 ， 离 广场 周边 购物 近 。 携程 提供 离 机场 距离 对 ， 应该 至少 20 公里 以上 。,1,1,0
1128,本人于2008年6月5日入住该酒店标准间。装修很别致，设施也不错，前台服务很好。早餐品种不多，但味道不错，香菇包子令人回味无穷，价格也还公道。但酒店的房价略微高了一点。,本人 于 2008 年 6 月 5 日 入住 该 酒店 标准间 。 装修 别致 ， 设施 不错 ， 前台 服务 好 。 早餐 品种 多 ， 但 味道 不错 ， 香菇 包子 令人 回味无穷 ， 价格 还 公道 。 但 酒店 房价 略微 高 一点 。,1,5,0
3699,因为未婚夫在美国的关系，他经常要美国、中国两边跑，每次都选择过境香港，所以给了我最好的理由去香港。在香港入住过不同的酒店，这家酒店给我的感觉最好。服务和环境都没有话可说，最感动的是，退房时走得匆忙，一条新买的裙子给忘在酒店房间了，直到回到家收拾行李才发现裙子不见了，当时已经是凌晨2点了，我抱着试试看的心态给酒店去了电话，结果接电话的男士很礼貌的告诉我裙子他们有收到。谢天谢地，经过沟通，以信用卡作邮费支付担保，我的裙子终于在失散一周之后回到了我的身边。下次未婚夫回国，我会强烈推荐他入住这家酒店，我想我以后去香港都会入住这家酒店,因为 未婚夫 美国 关系 ， 他 经常 要 美国 、 中国 两边 跑 ， 每次 选择 过境 香港 ， 所以 给 最好 理由 去 香港 。 香港 入住 过 不同 酒店 ， 这家 酒店 给 感觉 最好 。 服务 环境 没有 话 可 说 ， 最 感动 ， 退房 时 走 得 匆忙 ， 一条 新买 裙子 给 忘 酒店 房间 ， 直到 回到 家 收拾 行李 才 发现 裙子 不见 ， 当时 已经 凌晨 2 点 ， 抱 着 试试看 心态 给 酒店 去 电话 ， 结果 接电话 男士 礼貌 告诉 裙子 他们 收到 。 谢天谢地 ， 经过 沟通 ， 以 信用卡 作 邮费 支付 担保 ， 裙子 终于 失散 一周 之后 回到 身边 。 下次 未婚夫 回国 ， 我会 强烈推荐 他 入住 这家 酒店 ， 想 以后 去 香港 会 入住 这家 酒店,1,3,0
