index,review,tokens_join,true,fold,pred
6014,普通的公寓房，服务水平差，不适合商旅人事入住。,普通 公寓 房 ， 服务水平 差 ， 适合 商旅 人事 入住 。,0,1,1
1309,"服务不错,房间也很好,叫车比较方便,就是周边没有超市.另外,就是早餐实在是不与酒店成正比.一是品种太少,二是比较难吃.","服务 不错 , 房间 好 , 叫车 比较 方便 , 就是 周边 没有 超市 . 另外 , 就是 早餐 实在 与 酒店 成正比 . 一是 品种 太 少 , 二是 比较 难吃 .",1,1,0
2850,地理位置较优越，房间内干净整洁，不能说很安静但出门在外凡事不能太叫真，隔音还是可以的，可以考虑无烟楼层的房间较安静，总台小姐的服务态度还是可以的，外出旅游住宿可以建议考虑此酒店，去王兴记吃虾肉馄饨或去三凤桥买酱排骨还是很方便的，谢谢！,地理位置 较 优越 ， 房间内 干净 整洁 ， 不能 说 安静 但 出门在外 凡事 不能 太叫 真 ， 隔音 还是 可以 ， 可以 考虑 无烟 楼层 房间 较 安静 ， 总台 小姐 服务态度 还是 可以 ， 外出 旅游 住宿 可以 建议 考虑 此 酒店 ， 去 王兴记 吃 虾肉 馄饨 或 去 三凤桥 买 酱 排骨 还是 方便 ， 谢谢 ！,0,3,1
1414,地理位置很好，离公司相当的近。每次珠海的老总过来都指定该酒店。,地理位置 好 ， 离 公司 相当 近 。 每次 珠海 老总 过来 指定 该 酒店 。,0,3,1
404,"上周去住了两晚,本来想住飞,订的时候没房了,携程给推荐了这家,服务真的不错,还有水果,阎蕾小姐还亲自打电话问候,每年都去潍坊好七八次,这地就常住了.","上周 去 住 两晚 , 本来 想住 飞 , 订 时候 没房 , 携程 给 推荐 这家 , 服务 真的 不错 , 还有 水果 , 阎蕾 小姐 还 亲自 打电话 问候 , 每年 去 潍坊 好 七八次 , 这地 常住 .",1,3,0
1378,"性价比非常好的酒店，房间设施超好，卫生间分了3个部分，淋浴房，卫生间，化妆间，非常干净，装修很有欧式风格，枕头舒服，床也大,服度也不,商房配,下次!","性价比 非常 好 酒店 ， 房间 设施 超好 ， 卫生间 分 3 个 部分 ， 淋浴房 ， 卫生间 ， 化妆间 ， 非常 干净 ， 装修 欧式 风格 ， 枕头 舒服 ， 床 大 , 服度 , 商房配 , 下次 !",1,2,0
5002,酒店的地段好，我们去周围的商务机构办事非常方便；楼下就是置地广场，有LV、gucci...一串高中档的专卖店，附近还有一家反斗星玩具店（小朋友多高兴呀）；房间装修有特色，浴室也很宽敞，服务质量较好，不少服务员能听普通话，但也有不少只讲英文的．缺点：不知什么原因，我们带去的两台笔记本都无法上网，还好酒店提供免费使用的笔记本，没有耽误事；中午酒店附近的街上十分拥挤，最好别出门；早餐品种较少；因高楼林立，大大的窗子只能经常拉着窗帘（窗子好象是封死的）。,酒店 地段 好 ， 我们 去 周围 商务 机构 办事 非常 方便 ； 楼下 就是 置 地 广场 ， LV 、 gucci ... 一串 高中档 专卖店 ， 附近 还有 一家 反斗 星 玩具店 （ 小朋友 多 高兴 呀 ） ； 房间 装修 特色 ， 浴室 宽敞 ， 服务质量 较 好 ， 不少 服务员 能 听 普通话 ， 但 不少 只 讲 英文 ． 缺点 ： 不知 什么 原因 ， 我们 带去 两台 笔记本 无法 上网 ， 还好 酒店 提供 免费 使用 笔记本 ， 没有 耽误 事 ； 中午 酒店 附近 街上 十分 拥挤 ， 最好 别 出门 ； 早餐 品种 较 少 ； 因 高楼 林立 ， 大大的 窗子 只能 经常 拉着 窗帘 （ 窗子 好象 封死 ） 。,0,1,1
4256,房间很干净。餐厅饭菜一般般。可惜没有独立的沙滩，需要步行一段路才能到海边。补充点评2007年12月13日：价格比较实惠。,房间 干净 。 餐厅 饭菜 一般般 。 可惜 没有 独立 沙滩 ， 需要 步行 一段路 才能 到 海边 。 补充 点评 2007 年 12 月 13 日 ： 价格 比较 实惠 。,1,1,0
7689,性价比太差，大堂不气派。房间一般，服务一般，以后不会住,性价比 太 差 ， 大堂 气派 。 房间 一般 ， 服务 一般 ， 以后 不会 住,0,4,1
1705,在上海少见的带游泳池的酒店公寓，周围的环境很不错，超市、饭店、酒吧等很多，不去市中心还是不错的。房间超大，装潢、设施一般。有厨房，但餐具等居然要租赁，似乎不甚合理。游泳池很小，不知何故水呈绿色（可能是瓷砖缘故），不如蓝色的游泳池舒服。早餐一般，不够丰富，早餐厅可以晒到太阳，蛮好。员工服务需要提高，至少应让客人感觉到亲切和微笑。,上海 少见 带 游泳池 酒店 公寓 ， 周围 环境 不错 ， 超市 、 饭店 、 酒吧 等 很多 ， 不去 市中心 还是 不错 。 房间 超大 ， 装潢 、 设施 一般 。 厨房 ， 但 餐具 等 居然 要 租赁 ， 似乎 甚 合理 。 游泳池 很小 ， 不知 何故 水 呈 绿色 （ 可能 瓷砖 缘故 ） ， 不如 蓝色 游泳池 舒服 。 早餐 一般 ， 不够 丰富 ， 早 餐厅 可以 晒 到 太阳 ， 蛮 好 。 员工 服务 需要 提高 ， 至少 应 让 客人 感觉 到 亲切 微笑 。,1,1,0
1630,客观地说，应该已经是石家庄最好的酒店了，各方面都还可以，房间稍微有点旧了，毛巾不是很白。不过下次还会选择,客观 地说 ， 应该 已经 石家庄 最好 酒店 ， 各 方面 还 可以 ， 房间 稍微 有点 旧 ， 毛巾 不是 很白 。 不过 下次 还会 选择,0,1,1
4641,离机场很近，15分钟，不到20块钱，可是离市区实在太远了，而且中间有段路蛮荒凉旁边有个易初莲花，还有个明珠广场，环境还是不错的，房间也行。携程的价格很没有竞争力，我和朋友同时入住，我的房价是548，朋友通过她公司预定，房价仅为410。,离 机场 很近 ， 15 分钟 ， 不到 20 块钱 ， 可是 离 市区 实在 太远 ， 而且 中间 有段 路 蛮 荒凉 旁边 有个 易 初莲花 ， 还有 个 明珠 广场 ， 环境 还是 不错 ， 房间 行 。 携程 价格 没有 竞争力 ， 朋友 同时 入住 ， 房价 548 ， 朋友 通过 她 公司 预定 ， 房价 仅为 410 。,1,1,0
125,"在副楼的房间有老旧了些,实有必要再整修了,尤其在地毯部份,不然整体上是不错的的.在早餐的服务上还是可以的,仍有著水准.","副 楼 房间 老旧 些 , 实有 必要 再 整修 , 尤其 地毯 部份 , 不然 整体 上 不错 . 早餐 服务 上 还是 可以 , 仍 著 水准 .",0,3,1
888,"来苏州好多次了，基本上都住在这家酒店。给我的感觉非常好，房间很干净，设施也很全，各种用品也很不错。而且前台的知道我的喜好，每次都安排的很好。入住过几次后每次都会有一些小礼品赠送，虽然价值不高，但是感觉非常温馨，上网网速也很快，比我上次在南京住的锦江之星要好太多了。下次来苏州这家酒店是首先。说了好的，再说不好的。就是Ctrip的商务客人基本上都被安排在东楼，房间里感觉有点暗，光线不是太好。但是很安静，不象主楼一样临街上。很适合我这种喜欢安静的人。宾馆反馈2008年8月8日：非常感谢您对我们服务的肯定,您的支持就是我们前进的动力.同时也非常感谢您对我们提出的意见,我们会对房间的灯光进行检查及维护.期待您的再次光临.","来 苏州 好 多次 ， 基本上 住 这家 酒店 。 给 感觉 非常 好 ， 房间 干净 ， 设施 全 ， 各种 用品 不错 。 而且 前台 知道 喜好 ， 每次 安排 好 。 入住 过 几次 后 每次 会 一些 小 礼品 赠送 ， 虽然 价值 不高 ， 但是 感觉 非常 温馨 ， 上网 网速 很快 ， 比 上次 南京 住 锦江 之星 要 好 太 多 。 下次 来 苏州 这家 酒店 首先 。 说 好 ， 再说 不好 。 就是 Ctrip 商务 客人 基本上 被 安排 东楼 ， 房间 里 感觉 有点 暗 ， 光线 不是太好 。 但是 安静 ， 象 主楼 一样 临街 上 。 适合 这种 喜欢 安静 。 宾馆 反馈 2008 年 8 月 8 日 ： 非常 感谢您 对 我们 服务 肯定 , 您 支持 就是 我们 前进 动力 . 同时 非常 感谢您 对 我们 提出 意见 , 我们 会 对 房间 灯光 进行 检查 及 维护 . 期待 您 再次 光临 .",0,3,1
4825,西楼海景房实际面对的是一片工地，正在施工，不过还好，不影响睡眠。免费升级到了一个家庭套房，有3张床。不过卫生间小点，尤其是台盆。酒店服务还是不错，热情。就是Checkout怎么到中午高峰时段只有一个人。酒店housekeeping也不会补拖鞋。,西楼 海景房 实际 面对 一片 工地 ， 正在 施工 ， 不过 还好 ， 影响 睡眠 。 免费 升级 到 一个 家庭 套房 ， 3 张床 。 不过 卫生间 小点 ， 尤其 台盆 。 酒店 服务 还是 不错 ， 热情 。 就是 Checkout 怎么 到 中午 高峰 时段 只有 一个 。 酒店 housekeeping 不会 补 拖鞋 。,0,5,1
1396,除了交通稍微有不便出入都要靠taxi或自有汽外其他方面都ok也很合理,除了 交通 稍微 不便 出入 要 靠 taxi 或 自有 汽外 其他 方面 ok 合理,0,1,1
4818,比较老的五星级酒店，酒店的管理维护还是很好,比较 老 五星级 酒店 ， 酒店 管理 维护 还是 好,0,2,1
6770,"我是头一次到九寨沟,通过携程预先订了格桑.去到后发现自己被误导了,这个酒店较旧,感觉很脏,服务一般.旁边有很多酒店,没进去,但感觉比格桑要好.下次去,首选是不住格桑了,挑其他的试试.","头 一次 到 九寨沟 , 通过 携程 预先 订 格桑 . 去 到 后 发现自己 被 误导 , 这个 酒店 较 旧 , 感觉 很脏 , 服务 一般 . 旁边 很多 酒店 , 没 进去 , 但 感觉 比格 桑要 好 . 下次 去 , 首选 不住 格桑 , 挑 其他 试试 .",0,4,1
303,"酒店位置很方便,离开封第一楼和夜市非常近,酒店早餐10元自助很实惠,服务也不错但房间很大设施却有些旧，尤其卫生间狭小。","酒店 位置 方便 , 离开 封 第一 楼 夜市 非常 近 , 酒店 早餐 10 元 自助 实惠 , 服务 不错 但 房间 很大 设施 却 有些 旧 ， 尤其 卫生间 狭小 。",0,3,1
