review,tokens_join,sentiment_score,sentiment_label
方便倒是真方便。可是晚上噪音太大了。正好是个十字路口。整个晚上全过车。鸣笛不止。睡觉轻的还是不要去住了,方便 倒 真 方便 。 可是 晚上 噪音 太大 。 正好 个 十字路口 。 整个 晚上 全过 车 。 鸣笛 不止 。 睡觉 轻 还是 不要 去 住,0.0682378082959145,0
很精致的藏式酒店，坐落在松赞林寺旁边，早朝松赞林寺再方便不过；酒店服务挺周到，房间很干净，被褥十分舒适；餐厅不大但很精巧，最喜欢的就是没有饭菜油烟的味道，因为饭菜都是在楼下厨房做好从一个窗口送进来的。餐厅的价格很合理，口味也不错；早餐品种虽然不多，不过藏式粑粑和牦牛酸奶不可不尝；招牌的藏式火锅完全没有想象中的浓油重盐，非常清淡可口，尤其是里面的豆腐猪肉丸，很好吃！不喜欢清淡对口味的可以跟卓玛要个蘸水；喝不完的酥油茶还可以留到第二天，卓玛会热了端过来；酒店大堂旁边的精品柜台出售的藏饰做工非常精美，是经理专程从尼泊尔挑回来的，完全不是外面那些粗制滥造的恶俗款式，当然价格也是不菲，找经理也只能有9折的优惠。酒店不好的地方就是门口那条路还没修好，离县城稍微有点距离，没有包车的要当心出租车司机漫天要价。酒店不提供一次性拖鞋包括洗漱用品，要自己带齐哦！补充点评2007年11月1日：网友说的看星星的房间我觉得如果是这个季节入住的话其实不需要的，有阳台的话会比较冷，大冷天我想没人愿意在外面吹北风吧；夏天的话还是可以的，到前台的时候可以提出要求，服务员会耐心的打开房间让你看的,精致 藏式 酒店 ， 坐落 松 赞林寺 旁边 ， 早朝松 赞林寺 再 方便 不过 ； 酒店 服务 挺 周到 ， 房间 干净 ， 被褥 十分 舒适 ； 餐厅 不大 但 精巧 ， 最 喜欢 就是 没有 饭菜 油烟 味道 ， 因为 饭菜 楼下 厨房 做好 从 一个 窗口 送进来 。 餐厅 价格 合理 ， 口味 不错 ； 早餐 品种 虽然 多 ， 不过 藏式 粑 粑 牦牛 酸奶 不可不 尝 ； 招牌 藏式 火锅 完全 没有 想象 中 浓油 重盐 ， 非常 清淡 可口 ， 尤其 里面 豆腐 猪肉 丸 ， 好吃 ！ 喜欢 清淡 对 口味 可以 跟 卓玛要 个 蘸 水 ； 喝 完 酥油茶 还 可以 留 到 第二天 ， 卓玛会 热 端过来 ； 酒店 大堂 旁边 精品 柜台 出售 藏饰 做工 非常 精美 ， 经理 专程 从 尼泊尔 挑 回来 ， 完全 不是 外面 那些 粗制滥造 恶俗 款式 ， 当然 价格 不菲 ， 找 经理 只能 9 折 优惠 。 酒店 不好 地方 就是 门口 那条 路 还 没 修好 ， 离 县城 稍微 有点 距离 ， 没有 包车 要 当心 出租车 司机 漫天要价 。 酒店 提供 一次性 拖鞋 包括 洗漱 用品 ， 要 自己 带齐 哦 ！ 补充 点评 2007 年 11 月 1 日 ： 网友 说 看 星星 房间 觉得 如果 这个 季节 入住 的话 其实 需要 ， 阳台 的话 会 比较 冷 ， 大 冷天 我想 没人 愿意 外面 吹 北风 吧 ； 夏天 的话 还是 可以 ， 到 前台 时候 可以 提出 要求 ， 服务员 会 耐心 打开 房间 让 你 看,6.465975843639171e-08,0
"整体尚可.优点很多就不说了.单就缺点罗列如下,望改进:1,房内夜间有异响.象是水滴或是气流的声音.2,宽带要服务台开通才可使用.开始不明白,耽误了好多事.3,被子感觉很不好,不透气,象一层塑料罩着一样,很难受(个人感受).4,落地灯插座没电.只好趴在桌下找桌后的插座.5,卫生间隔音不是一般的差.","整体 尚可 . 优点 很多 说 . 单 缺点 罗列 如下 , 望 改进 : 1 , 房 内 夜间 异响 . 象是 水滴 或是 气流 声音 . 2 , 宽带 要 服务台 开通 才 可 使用 . 开始 明白 , 耽误 好多 事 . 3 , 被子 感觉 不好 , 不透气 , 象 一层 塑料 罩 着 一样 , 难受 ( 个人 感受 ) . 4 , 落地灯 插座 没电 . 只好 趴在 桌下 找 桌后 插座 . 5 , 卫生间 隔音 不是 一般 差 .",1.0979772646635409e-10,0
不错，在普宁寺旁边，有特色。服务员态度特别好，很亲切，都穿藏服。,不错 ， 普宁寺 旁边 ， 特色 。 服务员 态度 特别 好 ， 亲切 ， 穿 藏服 。,0.9751382761488936,1
预订海景花园大酒店已经没有房间了，于是换到了这里，看到外表有些疑惑，因为酒店并不大，入住时却得到了出乎意料的惊喜：前台服务很温馨，cheakin的速度很快，门童很热情，主动给你提行李，如果开车去会记住为你留好车位；房间面积不小，装饰得很精致，还有果盘赠送；环境稍差些，看不到海景，但是从酒店出来，穿过马路一直向海走，再过一条马路就到了著名的韩式烧烤---李朝木炭烧烤了，另外一点不足就是旁边有一家KTV，晚上能感觉到有些吵。总体感觉很不错，可以给4星。,预订 海景 花园 大酒店 已经 没有 房间 ， 于是 换到 这里 ， 看到 外表 有些 疑惑 ， 因为 酒店 并不大 ， 入住 时 却 得到 出乎意料 惊喜 ： 前台 服务 温馨 ， cheakin 速度 很快 ， 门童 热情 ， 主动 给 你 提 行李 ， 如果 开车 去 会 记住 为 你 留好 车位 ； 房间 面积 不小 ， 装饰 得 精致 ， 还有 果盘 赠送 ； 环境 稍差 些 ， 看不到 海景 ， 但是 从 酒店 出来 ， 穿过 马路 一直 向海 走 ， 再 过 一条 马路 到 著名 韩式 烧烤 --- 李朝 木炭 烧烤 ， 另外 一点 不足 就是 旁边 一家 KTV ， 晚上 能 感觉 到 有些 吵 。 总体 感觉 不错 ， 可以 给 4 星 。,0.9965434706983288,1
很一般的五星级酒店，周边的环境感觉很乱,一般 五星级 酒店 ， 周边 环境 感觉 乱,0.4605964088646638,0
宝晖酒店离机场比较近，不用到罗湖一带找酒店了酒店大堂和餐厅等装璜都挺漂亮的，很有特色的古雅，服务人员也很不错，热情周到，这点没什么挑剔但是，内在客房设施不大满意我住的行政房间，居然在写字台附近没有插座！这样有宽带又有什么用？只好把电视机柜挪开才能给电脑充电，真不方便其他设备也比较缺，比如小冰箱、箱包架（后来发现藏在衣柜里了）、面巾纸盒、咖啡...还有一点似乎不够人性化，离开房间拔掉房卡，房间是马上断电的立刻漆黑的一团，如果是CheckOut拖着大包小包更是不方便。很多酒店是拔掉房卡后有10秒到甚至一分钟的延迟才断电，建议借鉴一下,宝晖 酒店 离 机场 比较 近 ， 不用 到 罗湖 一带 找 酒店 酒店 大堂 餐厅 等 装璜 挺 漂亮 ， 特色 古雅 ， 服务 人员 不错 ， 热情周到 ， 这点 没什么 挑剔 但是 ， 内在 客房 设施 大 满意 住 行政 房间 ， 居然 写字台 附近 没有 插座 ！ 这样 宽带 又 什么 用 ？ 只好 把 电视机 柜 挪开 才能 给 电脑 充电 ， 真 方便 其他 设备 比较 缺 ， 比如 小 冰箱 、 箱包 架 （ 后来 发现 藏 衣柜 里 ） 、 面巾纸 盒 、 咖啡 ... 还有 一点 似乎 不够 人性化 ， 离开 房间 拔掉 房卡 ， 房间 马上 断电 立刻 漆黑 一团 ， 如果 CheckOut 拖 着 大 包小包 更是 方便 。 很多 酒店 拔掉 房卡 后 10 秒 到 甚至 一分钟 延迟 才 断电 ， 建议 借鉴 一下,3.7549052755991847e-10,0
连续入住好几次了。将来可能没有机会再到湖南这家店却是还可以,连续 入住 好 几次 。 将来 可能 没有 机会 再 到 湖南 这家 店 却是 还 可以,0.8534592292255302,1
"很不错的一个酒店,床很大,很舒服.酒店员工的服务态度很亲切.","不错 一个 酒店 , 床 很大 , 舒服 . 酒店 员工 服务态度 亲切 .",0.9072162816102792,1
客房环境级差，房间里时常可以看见“小强”，新铺的床单上由占整个面积3分之2的不知道是什么液体留下的印记，还夹杂着3、4个黑鞋印，恶心之极。卫生间所有的下水都很慢，在浴缸里冲澡每5、6分钟得听一小会儿，要不就水淹七军了，毛巾都是灰色的，实在是差劲。建议想入住德请慎重考虑。,客房 环境 级差 ， 房间 里 时常 可以 看见 “ 小强 ” ， 新铺 床单 上 由 占 整个 面积 3 分 之 2 知道 什么 液体 留下 印记 ， 还 夹杂着 3 、 4 个 黑 鞋印 ， 恶心 之极 。 卫生间 所有 下水 很慢 ， 浴缸 里 冲澡 每 5 、 6 分钟 得 听 一小 会儿 ， 要 水淹七军 ， 毛巾 灰色 ， 实在 差劲 。 建议 想 入住 德请 慎重考虑 。,1.2041478925084448e-12,0
