,precision,recall,f1-score,support
书籍,0.5965116279069768,0.3078,0.4060686015831135,5000.0
平板,0.2065238477953607,0.7452,0.32341644424191135,10000.0
手机,0.8220205209155486,0.4166,0.5529599150517653,5000.0
水果,0.7573503977862331,0.4379,0.5549360030414396,10000.0
洗发水,0.6236334405144695,0.3879,0.4782983970406905,10000.0
热水器,0.9534203420342034,0.8474,0.8972892842016095,5000.0
蒙牛,0.8529953917050691,0.3702,0.5163179916317991,5000.0
衣服,0.7141124753675914,0.4711,0.5676929565584141,10000.0
计算机,0.709483793517407,0.3546,0.4728630484064542,5000.0
酒店,0.8189131505499918,0.4988,0.6199738984525511,10000.0
accuracy,0.49189333333333335,0.49189333333333335,0.49189333333333335,0.49189333333333335
macro avg,0.7054964988092852,0.48374999999999996,0.5389816540209749,75000.0
weighted avg,0.6783665533404332,0.49189333333333335,0.5289422826363169,75000.0
